title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Darjeeling Limited",movie,"Adventure, Comedy, Drama",2007,tt0838221,7.2,225200,
"Panic Room",movie,"Crime, Drama, Thriller",2002,tt0258000,6.8,307832,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,89713,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,430900,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7315,
"Sense and Sensibility",movie,"Drama, Romance",1995,tt0114388,7.7,132168,
"The Guardian",movie,"Adventure, Drama",2006,tt0406816,6.9,101300,
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,915,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12775,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,129309,
"The Invasion",movie,"Sci-Fi, Thriller",2007,tt0427392,5.9,85989,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,20254,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,724512,
"Boogie Nights",movie,Drama,1997,tt0118749,7.9,292235,
"Rush Hour 3",movie,"Action, Comedy, Crime",2007,tt0293564,6.2,192416,
"Rush Hour 2",movie,"Action, Comedy, Crime",2001,tt0266915,6.7,251079,
"The Polar Express",movie,"Adventure, Animation, Family",2004,tt0338348,6.6,258170,
Chaos,movie,"Action, Crime, Drama",2005,tt0402910,6.4,59583,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,16155,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5741,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4545,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13812,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,62878,
Once,movie,"Drama, Music, Musical",2006,tt0907657,7.8,123531,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6,1523,
"The Towering Inferno",movie,"Action, Drama, Thriller",1974,tt0072308,7,50706,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,142723,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,126436,
"Nosferatu the Vampyre",movie,"Drama, Horror",1979,tt0079641,7.4,47331,
"Three Kings",movie,"Action, Adventure, Comedy",1999,tt0120188,7.1,184746,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,853070,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,182218,
"Death in Venice",movie,"Drama, Romance",1971,tt0067445,7.3,24013,
Transsiberian,movie,"Crime, Drama, Mystery",2008,tt0800241,6.6,55774,
"Zathura: A Space Adventure",movie,"Action, Adventure, Comedy",2005,tt0406375,6.3,121508,
Outbreak,movie,"Action, Drama, Thriller",1995,tt0114069,6.6,142847,
"Meet the Spartans",movie,"Comedy, Fantasy",2008,tt1073498,2.8,113799,
"Maid in Manhattan",movie,"Comedy, Drama, Romance",2002,tt0252076,5.4,99893,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,105400,
"Sleeping with the Enemy",movie,"Drama, Thriller",1991,tt0102945,6.3,69034,
xXx,movie,"Action, Adventure, Drama",2002,tt0295701,5.8,190599,
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,81191,
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,367941,
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,tt0387808,6.5,201946,
